488-1257:[None, False, 'add', 24, False, False],1.7836394439173116
488-1258:[None, False, 'add', 24, False, False],0.8924178482216557
488-1259:[None, False, 'add', 24, False, True],1.0832144137533306
488-1260:[None, False, 'add', 24, False, True],0.7061994849365631
488-1261:[None, False, 'add', 24, False, False],1.0471380876351606
488-1262:[None, False, 'add', 24, True, False],0.8337684458280527
488-1263:[None, False, 'add', 24, True, True],8.861397684718103
488-1264:[None, False, 'add', 24, False, False],9.134200165152299
488-1265:[None, False, 'add', 24, False, False],8.852133446921563
488-1266:[None, False, 'add', 24, False, True],4.987439129354003
488-1267:[None, False, 'mul', 24, False, False],2.516887216809277
488-1268:[None, False, 'add', 24, False, True],3.7006402701493863
489-1252:[None, False, 'add', 24, False, False],5.156661431849516
489-1253:[None, False, 'add', 24, False, False],9.394795846325593
489-1254:[None, False, 'add', 24, False, False],5.834794808895276
489-1255:[None, False, 'add', 24, False, False],5.739873225505832
489-1256:[None, False, 'add', 24, False, False],2.171714017745955
489-1257:[None, False, 'add', 24, False, False],1.7223962823820198
489-1258:[None, False, 'add', 24, False, False],0.8014502130565252
489-1259:[None, False, 'add', 24, False, True],0.8513187404217636
489-1260:[None, False, 'add', 24, False, True],1.3481550110897436
489-1261:[None, False, 'add', 24, False, True],0.7019823313982946
489-1262:[None, False, 'add', 24, False, True],1.1155581472994802
489-1263:[None, False, 'add', 24, True, False],1.1425415084493984
489-1264:[None, False, 'add', 24, False, False],2.2739583374449084
489-1265:[None, False, 'add', 24, False, False],4.167239808359734
489-1266:[None, False, 'add', 24, False, False],5.581613625896831
489-1267:[None, False, 'add', 24, False, False],2.7965904088961726
489-1268:[None, False, 'add', 24, False, False],3.1866564833417277
490-1252:[None, False, 'add', 24, False, False],4.1462078650765335
490-1253:[None, False, 'add', 24, False, False],2.048755878572047
490-1254:[None, False, 'add', 24, False, False],10.198175185872277
490-1255:[None, False, 'add', 24, False, False],3.1372577504530486
490-1256:[None, False, 'add', 24, False, False],10.276080051969004
490-1257:[None, False, 'add', 24, False, False],3.7978175861551366
490-1258:[None, False, 'add', 24, False, True],0.6805789701598678
490-1259:[None, False, 'add', 24, False, True],0.8941471501765653
490-1260:[None, False, 'add', 24, False, True],0.6075703087107552
490-1261:[None, False, 'add', 24, False, True],0.49435036402254623
490-1262:[None, False, 'add', 24, False, False],0.8267460096499762
490-1263:[None, False, 'mul', 24, False, False],0.35069281263476637
490-1264:[None, False, 'mul', 24, False, True],0.44771668193979464
490-1265:[None, False, 'add', 24, False, False],0.6532475575975867
490-1266:[None, False, 'mul', 24, True, False],0.9410450812042973
490-1267:[None, False, 'add', 24, False, True],1.121071835459095
490-1268:[None, False, 'add', 24, False, True],2.9351387030780236
491-1252:[None, False, 'add', 24, False, False],1.004892995022993
491-1253:[None, False, 'add', 24, False, False],0.8911928871133145
491-1254:[None, False, 'add', 24, False, False],2.8562659966628607
491-1255:[None, False, 'add', 24, False, False],6.795655486512309
491-1256:[None, False, 'add', 24, False, False],5.0900060732613355
491-1257:[None, False, 'add', 24, False, False],5.232697609129404
491-1258:[None, False, 'add', 24, False, True],26.641882114349865
491-1259:[None, False, 'add', 24, False, True],28.599056085770087
491-1260:[None, False, 'add', 24, False, True],5.493687627968156
491-1261:[None, False, 'add', 24, True, False],0.82172901409279
491-1262:[None, False, 'mul', 24, True, False],0.5474319832252866
491-1263:[None, False, 'mul', 24, True, False],0.5655819832685779
491-1264:[None, False, 'mul', 24, True, True],0.5345632886906493
491-1265:[None, False, 'mul', 24, True, False],0.8517117846234277
491-1266:[None, False, 'mul', 24, True, False],0.6517796412023257
491-1267:[None, False, 'add', 24, False, True],0.39167619597616443
491-1268:[None, False, 'add', 24, False, True],3.2689706793258324
492-1252:[None, False, 'add', 24, False, False],2.1082323493008963
492-1253:[None, False, 'add', 24, False, False],1.232787914396226
492-1254:[None, False, 'add', 24, False, False],3.5993839842961877
492-1255:[None, False, 'add', 24, False, False],6.390869088552979
